item_id	round_id	date	episode	start	end	category	severity	before	proposed_after	evidence	rationale	decision	status	actual_after	actor	reviewer	resolution
SH0002-V101-TIME-0007	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	1:13:54.70	1:13:55.48	timing+translation	P2	1:13:54.70-1:13:55.48 | 看到他们了吗？	1:13:54.70-1:13:55.91 | 那边呢？	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「そっちは」；原译把对象说死，英文 Any sign of them 仅辅助；改后需全量检查配对、相邻间隔和非预期重叠	not-recorded	applied	1:13:54.70-1:13:55.91 | 那边呢？	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0002-V101-TIME-0008	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	1:14:16.60	1:14:17.30	timing+translation	P2	1:14:16.60-1:14:17.30 | 他为什么会有枪？	1:14:16.60-1:14:17.49 | 他哪来的枪？	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「なぜ 銃を」；精简并延至英文下一事件入点；改后需全量检查配对、相邻间隔和非预期重叠	not-recorded	applied	1:14:16.60-1:14:17.49 | 他哪来的枪？	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0002-V101-TIME-0009	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	1:22:54.20	1:22:54.98	timing+translation	P2	1:22:54.20-1:22:54.98 | 以副长权限下令：	1:22:54.20-1:22:55.40 | 以副长权限	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语整句在后续事件延续；首段精简，避免孤立冒号；改后需全量检查配对、相邻间隔和非预期重叠	not-recorded	applied	1:22:54.20-1:22:55.40 | 以副长权限	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0002-V101-TIME-0010	SH0002-V1.0.1-TIMING-TEXT	2026-08-26	MOVIE	1:35:37.83	1:35:38.82	timing	P1	1:35:37.83-1:35:38.82 | 再接入辅助动力 应该能行……	1:35:37.83-1:35:39.54 | 再接入辅助动力 应该能行……	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日英整句持续到下一自我纠正前；延至下一事件入点；改后需全量检查配对、相邻间隔和非预期重叠	not-recorded	applied	1:35:37.83-1:35:39.54 | 再接入辅助动力 应该能行……	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0002-V101-BOUND-0001	SH0002-V1.0.1-BOUNDARY-RECHECK	2026-08-26	MOVIE	0:10:10.42	0:10:11.59	timing	P1	0:10:10.42-0:10:11.59 | 你呢？	0:10:10.42-0:10:11.55 | 你呢？	target embedded English timing; mapped Japanese pair; adjacent workspace events	下一事件 10:11.55 入点；按目标英文轨与相邻中日配对收回越界出点；已同步中日配对并要求全量重叠复核	not-recorded	applied	0:10:10.42-0:10:11.55 | 你呢？	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0002-V101-BOUND-0002	SH0002-V1.0.1-BOUNDARY-RECHECK	2026-08-26	MOVIE	1:14:16.60	1:14:17.49	timing	P1	1:14:16.60-1:14:17.49 | 他哪来的枪？	1:14:16.60-1:14:17.47 | 他哪来的枪？	target embedded English timing; mapped Japanese pair; adjacent workspace events	下一事件 1:14:17.47 入点；消除 0.02 秒帧取整重叠；已同步中日配对并要求全量重叠复核	not-recorded	applied	1:14:16.60-1:14:17.47 | 他哪来的枪？	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0002-V101-BOUND-0003	SH0002-V1.0.1-BOUNDARY-RECHECK	2026-08-26	MOVIE	1:22:54.20	1:22:55.40	timing	P1	1:22:54.20-1:22:55.40 | 以副长权限	1:22:54.20-1:22:55.16 | 以副长权限	target embedded English timing; mapped Japanese pair; adjacent workspace events	下一事件 1:22:55.16 入点；同一日语句的相邻分段不得重叠；已同步中日配对并要求全量重叠复核	not-recorded	applied	1:22:54.20-1:22:55.16 | 以副长权限	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0002-V101-TIME-0011	SH0002-V1.0.1-EXTREME-SHORT-RECHECK	2026-08-26	MOVIE	1:33:09.23	1:33:10.02	timing	P2	1:33:09.23-1:33:09.68 | 弗姆特……	1:33:08.93-1:33:10.02 | 弗姆特……	target English Fomt... to 1:33:10.02; adjacent gap; Japanese call	按日英边界恢复短呼叫并同步中日配对	not-recorded	applied	1:33:08.93-1:33:10.02 | 弗姆特……	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0002-V101-TRANS-0001	SH0002-V1.0.1-EXTREME-SHORT-RECHECK	2026-08-26	MOVIE	1:41:27.77	1:41:29.43	timing+translation	P1	1:41:27.77-1:41:28.22 | 它在消失！ / 1:41:28.60-1:41:29.43 | 消失了？	1:41:27.77-1:41:28.35 | 啊？ / 1:41:28.35-1:41:29.64 | 它在消失！	Japanese えっ！ maps to reaction; 消えてくぞ maps to vanishing; English It's vanishing! to 6089.64	纠正错配并重排相邻中日事件，保持一一配对和无重叠	not-recorded	applied	1:41:27.77-1:41:28.35 | 啊？ / 1:41:28.35-1:41:29.64 | 它在消失！	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0002-REL-0001	SH0002-REL-20260826-V101	2026-08-26	ALL			release	P1	1.0.0 current 成品	1.0.1 current 成品；旧 1.0.0 轮换至 previous；由 GitHub Actions 生成分发包	docs/release-and-packaging.md	用户确认本轮字幕优化并批准正式发布；本机不生成 ZIP	not-recorded	verified	1.0.1 current 成品；旧 1.0.0 轮换至 previous；由 GitHub Actions 生成分发包	Codex	user-approved	Migrated from the historical change ledger without inventing an approval record.
SH0002-DOC-0001	SH0002-DOC-20260826-PACKAGE-VERSION	2026-08-26	ALL			documentation	P3	稳定包名不含版本号，难以从文件名识别新旧	包名采用 `<IMDb-ID> - <IMDb-title> [v<version>].zip`，版本仍由包内 VERSION 校验	docs/release-and-packaging.md；docs/project-identity.md	用户确认采用文件名版本标识；由 GitHub Actions 生成新包	not-recorded	verified	包名采用 `<IMDb-ID> - <IMDb-title> [v<version>].zip`，版本仍由包内 VERSION 校验	Codex	user-approved	Migrated from the historical change ledger without inventing an approval record.
SH0002-DOC-0002	SH0002-DOC-20260826-BANGUMI-IDENTITY	2026-08-26	ALL			documentation	P3	IMDb 英文标题字段缺少可复核来源，身份与中日标题重复记录	收束为 Bangumi 84701 API 身份快照；包名改用 `bgm84701 - 宇宙战舰大和号2199 星巡的方舟 [v<version>].zip`	https://api.bgm.tv/v0/subjects/84701；docs/project-identity.md	用户确认以 Bangumi 为单一动画元数据源，项目保存中日标题而分发包只使用简中标题	not-recorded	verified	收束为 Bangumi 84701 API 身份快照；包名改用 `bgm84701 - 宇宙战舰大和号2199 星巡的方舟 [v<version>].zip`	Codex	user-approved	Migrated from the historical change ledger without inventing an approval record.
SH0002-V200-STRUCT-0001	SH0002-V2.0.0-RELEASE-CONTRACT	2026-08-26	ALL			release-structure	P1	`.zh-Hans.ja.ass` 与旧 Script Info	2.0.0 候选采用 `.zh-Hans.ass` 与标准语言/身份头部	docs/release-and-packaging.md；.github/scripts/validate_ass_candidate.py	用户批准不兼容命名与 ASS 结构契约；Events 字节验证一致	not-recorded	applied	2.0.0 候选采用 `.zh-Hans.ass` 与标准语言/身份头部	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0002-V200-FONT-0001	SH0002-V2.0.0-FONTS	2026-08-26	MOVIE			typography	P1	DengXian / KaiTi / Microsoft YaHei UI / SimHei / Yu Gothic UI	Noto Sans CJK SC / Noto Sans CJK JP	docs/timing-and-layout.md#9-字体与字形	20 个样式完成批准映射；字号、缩放、定位、事件与特效保持不变	not-recorded	applied	Noto Sans CJK SC / Noto Sans CJK JP	Codex	unassigned	Migrated from the historical change ledger without inventing an approval record.
SH0002-V200-REL-0001	SH0002-V2.0.0-RELEASE	2026-08-26	MOVIE			release	P1	1.0.1 current 与待审 2.0.0 候选	2.0.0 正式 current；1.0.1 轮换为 previous；不在本地生成 ZIP	docs/release-and-packaging.md；2026-08-26 用户明确发布指令	机器结构及字体映射验证通过；负责人书面豁免本机字体渲染抽查并要求直接发布	not-recorded	released	2.0.0 正式 current；1.0.1 轮换为 previous；不在本地生成 ZIP	Codex	user-approved-with-visual-waiver	Migrated from the historical change ledger without inventing an approval record.
SH0002-V201-META-0001	SH0002-V2.0.1-METADATA	2026-08-26	MOVIE			release-metadata	P2	4 条底稿、原语和时间轴参考以 Source-Metadata 评论混入 Events	删除 4 条工程溯源评论；无明确字幕组制作署名，因此不生成 Source-Credit	docs/release-and-packaging.md#4.1-ass-头部规范；2026-08-26 用户明确要求	工程溯源由 project.yaml 和项目文档承担；独立差分证明其余 Events 一致	not-recorded	released	删除 4 条工程溯源评论；无明确字幕组制作署名，因此不生成 Source-Credit	Codex	user-approved	Migrated from the historical change ledger without inventing an approval record.
SH0002-DOC-0003	SH-SKILL-MIGRATION-20260827	2026-08-27	ALL			documentation	P3	仓库根 docs 规范路径、单一来源 role、项目 docs 入口且无独立中文只读底稿	仓库级 $subtitle-hub Skill 稳定规则 ID、来源 roles 列表、四文件项目控制面，并从当前正式 ASS 建立字节一致的只读中文基线	SH-CTRL-003；SH-SRC-002；SH-INIT-002	替代并删除并行旧规范；正式字幕和发布版本未改变	not-recorded	verified	仓库级 $subtitle-hub Skill 稳定规则 ID、来源 roles 列表、四文件项目控制面，并从当前正式 ASS 建立字节一致的只读中文基线	Codex	user-approved-plan	Migrated from the historical change ledger without inventing an approval record.
SH0002-ISS-0001	historical-issue-import-20260827	2026-08-26	MOVIE	0:07:00.90	0:18:52.23	terminology	P2	3 个中文事件使用“迪斯拉”，与系列规范“德斯拉”不一致	复核系列禁用形式为零	YAMATO-TERM-0016；同时间日语均为 デスラー；SH0002-V1.0.1-TERMS 逐事件台账		not-recorded	verified	3 个事件已修订为“德斯拉”，重跑审计未再命中禁用形式	Codex		3 个事件已修订为“德斯拉”，重跑审计未再命中禁用形式
SH0002-TIME-0002	historical-issue-import-20260827	2026-08-26	MOVIE			timing	P1	人工反馈指出存在人物仍在连续说同一句、字幕却一闪而过的极短时间轴风险	仅复核不足 0.50 秒且至少 3 个中文字，或不足 0.75 秒且文字量/速度明显偏高的普通对白；同句仍在发声时同步延长中日配对，不确定项交人工确认	2026-08-26 用户复审反馈；project/workspace/temp/review/extreme-short-candidates-v1.0.1.tsv		not-recorded	verified	2 个候选均已按原语、英文辅助译本与相邻边界处理；用户已确认本轮修改	Codex		2 个候选均已按原语、英文辅助译本与相邻边界处理；用户已确认本轮修改
SH0002-TRANS-0001	historical-issue-import-20260827	2026-08-26	ALL			translation	P2	人工反馈要求复核中文底稿独有、原语字幕无对应的“啊”“嗯”等语气词和反应声，存在过度翻译嫌疑	逐点核对实际音轨；无发声证据则删除，有明确发声才重译并记录依据	2026-08-26 用户复审反馈；SH-TRANS-004		not-recorded	verified	本轮涉及的语气词与反应声已按原语、英文辅助译本、上下文和中文标点功能处理；用户已确认发布	Codex		本轮涉及的语气词与反应声已按原语、英文辅助译本、上下文和中文标点功能处理；用户已确认发布
SH0002-V200-VIS-0001	historical-issue-import-20260827	2026-08-26	MOVIE			typography-layout	P1	2.0.0 将全部正式字体迁移到 Noto Sans CJK SC/JP，结构检查已通过，但当前环境缺少标准静态字体和 ASS 渲染器，尚未完成定位、缩放和移动文字渲染抽查	安装或提供标准静态字体及 ASS 渲染器，抽查 move、旧楷体/黑体/等线样式、定位和缩放文字	project/workspace/temp/review/review-v2.0.0-release-contract-font-normalization-ALL.md；SH-LAYOUT-004		waived	closed	2026-08-26 项目负责人明确要求按 2.0.0 规范直接发布；保留“未完成本地字体渲染抽查”的风险记录，不声称视觉通过	Codex		2026-08-26 项目负责人明确要求按 2.0.0 规范直接发布；保留“未完成本地字体渲染抽查”的风险记录，不声称视觉通过
SH0002-CTRL-20260827	control-plane-consolidation-20260827	2026-08-27	ALL			documentation	P3	docs/progress.yaml + docs/issues.tsv + docs/change-log.tsv + temporary per-round reports	docs/review.md + docs/ledger.tsv	2026-08-27 user approval; SH-CTRL-003; SH-CTRL-005; SH-CTRL-006; SH-CTRL-007	Reduce routine control-file edits and prevent parallel or scattered project state.	approved	verified	docs/review.md + docs/ledger.tsv	Codex	user	Merged 27 historical change rows and 4 historical issue rows without altering subtitle content; schema and project validation passed.
