change_id	batch_id	date	episode	start	end	category	severity	before	after	source_ref	rationale	status	agent	reviewer
SH0001-V101-TERM-0011	SH0001-V1.0.1-TERMS	2026-08-26	S01E08	0:08:28.59	0:08:29.40	terminology	P2	是迪斯拉鱼雷	是德斯拉鱼雷	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0012	SH0001-V1.0.1-TERMS	2026-08-26	S01E08	0:08:31.01	0:08:35.13	terminology	P2	那批迪斯拉鱼雷已完成前线配备！	那批德斯拉鱼雷已完成前线配备！	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0013	SH0001-V1.0.1-TERMS	2026-08-26	S01E08	0:11:13.17	0:11:17.24	terminology	P2	迪斯拉万岁！总统万岁！	德斯拉万岁！总统万岁！	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0014	SH0001-V1.0.1-TERMS	2026-08-26	S01E08	0:12:03.22	0:12:04.82	terminology	P2	迪斯拉鱼雷 发射！	德斯拉鱼雷 发射！	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0015	SH0001-V1.0.1-TERMS	2026-08-26	S01E08	0:13:01.32	0:13:05.26	terminology	P2	看到了吗？这才是迪斯拉鱼雷的真面目	看到了吗？这才是德斯拉鱼雷的真面目	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0016	SH0001-V1.0.1-TERMS	2026-08-26	S01E08	0:15:40.31	0:15:43.21	terminology	P2	舰长 张开波动护盾如何	舰长 张开波动防御壁如何	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0017	SH0001-V1.0.1-TERMS	2026-08-26	S01E08	0:21:11.52	0:21:13.75	terminology	P2	迪斯拉万岁！	德斯拉万岁！	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0018	SH0001-V1.0.1-TERMS	2026-08-26	S01E11	0:03:53.65	0:03:57.94	terminology	P2	总统将授予你特级迪斯拉十字奖	总统将授予你特级德斯拉十字奖	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0019	SH0001-V1.0.1-TERMS	2026-08-26	S01E12	0:10:21.54	0:10:23.24	terminology	P2	迪斯拉万岁！	德斯拉万岁！	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0020	SH0001-V1.0.1-TERMS	2026-08-26	S01E13	0:03:18.74	0:03:20.79	terminology	P2	现在传达迪斯拉总统之命	现在传达德斯拉总统之命	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0021	SH0001-V1.0.1-TERMS	2026-08-26	S01E14	0:02:51.63	0:02:55.45	terminology	P2	下个任务 可是迪斯拉总统直接下达的特别命令哦	下个任务 可是德斯拉总统直接下达的特别命令哦	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0022	SH0001-V1.0.1-TERMS	2026-08-26	S01E14	0:17:32.88	0:17:36.20	terminology	P2	现在展开核心管道舱内的波动护盾	现在展开核心管道舱内的波动防御壁	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0023	SH0001-V1.0.1-TERMS	2026-08-26	S01E14	0:17:38.22	0:17:40.58	terminology	P2	波动护盾展开状况 确认完毕	波动防御壁展开状况 确认完毕	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0024	SH0001-V1.0.1-TERMS	2026-08-26	S01E14	0:19:46.76	0:19:49.44	terminology	P2	现在解除核心管道舱内的波动护盾	现在解除核心管道舱内的波动防御壁	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0025	SH0001-V1.0.1-TERMS	2026-08-26	S01E15	0:15:37.77	0:15:40.39	terminology	P2	总统乘坐的迪斯拉号爆炸了！	总统乘坐的德斯拉号爆炸了！	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0026	SH0001-V1.0.1-TERMS	2026-08-26	S01E15	0:15:40.39	0:15:43.52	terminology	P2	迪斯拉总统被暗杀了！	德斯拉总统被暗杀了！	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0027	SH0001-V1.0.1-TERMS	2026-08-26	S01E15	0:17:40.39	0:17:42.62	terminology	P2	在舰守以最大功率展开波动护盾	在舰守以最大功率展开波动防御壁	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0028	SH0001-V1.0.1-TERMS	2026-08-26	S01E15	0:18:44.41	0:18:46.16	terminology	P2	波动护盾左舱输出力低下！	波动防御壁左舱输出力低下！	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0029	SH0001-V1.0.1-TERMS	2026-08-26	S01E15	0:19:41.30	0:19:43.92	terminology	P2	波动护盾达到临界点！护盾消失！	波动防御壁达到临界点！护盾消失！	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0010	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0030	SH0001-V1.0.1-TERMS	2026-08-26	S01E16	0:16:39.37	0:16:41.35	terminology	P2	这不是波动核吗？	这不是波动核心吗？	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0006	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0031	SH0001-V1.0.1-TERMS	2026-08-26	S01E17	0:03:09.89	0:03:13.22	terminology	P2	这个波动核上记载着这样的信息	这个波动核心上记载着这样的信息	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0006	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0032	SH0001-V1.0.1-TERMS	2026-08-26	S01E17	0:03:40.30	0:03:42.57	terminology	P2	迪斯拉总统被暗杀了	德斯拉总统被暗杀了	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0033	SH0001-V1.0.1-TERMS	2026-08-26	S01E18	0:13:05.51	0:13:09.66	terminology	P2	阿贝鲁特·迪斯拉离我们而去了	阿贝鲁特·德斯拉离我们而去了	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0034	SH0001-V1.0.1-TERMS	2026-08-26	S01E21	0:05:18.44	0:05:20.19	terminology	P2	去见迪斯拉总统	去见德斯拉总统	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0035	SH0001-V1.0.1-TERMS	2026-08-26	S01E22	0:02:40.78	0:02:44.26	terminology	P2	领导人的名字 阿贝鲁特·迪斯拉	领导人的名字 阿贝鲁特·德斯拉	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0036	SH0001-V1.0.1-TERMS	2026-08-26	S01E22	0:11:14.32	0:11:16.62	terminology	P2	是！迪斯拉万岁！	是！德斯拉万岁！	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0037	SH0001-V1.0.1-TERMS	2026-08-26	S01E22	0:14:22.04	0:14:24.00	terminology	P2	迪斯拉万岁	德斯拉万岁	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0038	SH0001-V1.0.1-TERMS	2026-08-26	S01E22	0:24:26.40	0:24:29.54	terminology	P2	目标是敌人的中枢 迪斯拉总统府	目标是敌人的中枢 德斯拉总统府	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0039	SH0001-V1.0.1-TERMS	2026-08-26	S01E23	0:03:33.76	0:03:36.59	terminology	P2	想要用迪斯拉炮来攻击的话相当困难	想要用德斯拉炮来攻击的话相当困难	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0040	SH0001-V1.0.1-TERMS	2026-08-26	S01E23	0:03:46.43	0:03:49.83	terminology	P2	迪斯拉总统 你到底想要干什么？	德斯拉总统 你到底想要干什么？	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0041	SH0001-V1.0.1-TERMS	2026-08-26	S01E23	0:07:08.96	0:07:11.91	terminology	P2	即将抵达敌人的中枢 迪斯拉总统府！	即将抵达敌人的中枢 德斯拉总统府！	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0042	SH0001-V1.0.1-TERMS	2026-08-26	S01E23	0:09:30.72	0:09:33.42	terminology	P2	迪斯拉号分离程序启动	德斯拉号分离程序启动	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0043	SH0001-V1.0.1-TERMS	2026-08-26	S01E23	0:09:33.74	0:09:34.99	terminology	P2	迪斯拉号？	德斯拉号？	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0044	SH0001-V1.0.1-TERMS	2026-08-26	S01E23	0:10:44.01	0:10:47.10	terminology	P2	这是……从迪斯拉号发来的指令	这是……从德斯拉号发来的指令	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0045	SH0001-V1.0.1-TERMS	2026-08-26	S01E23	0:11:45.45	0:11:47.81	terminology	P2	分离指令来自迪斯拉总统！	分离指令来自德斯拉总统！	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0046	SH0001-V1.0.1-TERMS	2026-08-26	S01E23	0:12:14.96	0:12:16.92	terminology	P2	迪斯拉！	德斯拉！	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0047	SH0001-V1.0.1-TERMS	2026-08-26	S01E23	0:12:45.91	0:12:47.57	terminology	P2	与迪斯拉炮的线路连接	与德斯拉炮的线路连接	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0048	SH0001-V1.0.1-TERMS	2026-08-26	S01E23	0:16:01.67	0:16:05.59	terminology	P2	第六中队进行迪斯拉 II 世的粮食弹药搬入工作	第六中队进行德斯拉 II 世的粮食弹药搬入工作	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0049	SH0001-V1.0.1-TERMS	2026-08-26	S01E23	0:17:44.70	0:17:47.92	terminology	P2	总统 迪斯拉炮的修复已经完成了	总统 德斯拉炮的修复已经完成了	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0050	SH0001-V1.0.1-TERMS	2026-08-26	S01E23	0:17:59.78	0:18:01.83	terminology	P2	这样一来波动核就会开始失控了	这样一来波动核心就会开始失控了	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0006	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0051	SH0001-V1.0.1-TERMS	2026-08-26	S01E23	0:18:35.11	0:18:38.95	terminology	P2	开始为迪斯拉炮填充能量	开始为德斯拉炮填充能量	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0052	SH0001-V1.0.1-TERMS	2026-08-26	S01E23	0:19:44.55	0:19:47.52	terminology	P2	迪斯拉炮进入发射状态	德斯拉炮进入发射状态	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0053	SH0001-V1.0.1-TERMS	2026-08-26	S01E23	0:20:11.56	0:20:13.01	terminology	P2	波动核无法控制	波动核心无法控制	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0006	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0054	SH0001-V1.0.1-TERMS	2026-08-26	S01E24	0:06:02.10	0:06:04.86	terminology	P2	那位殿下在护送波动核的途中	那位殿下在护送波动核心的途中	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0006	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0055	SH0001-V1.0.1-TERMS	2026-08-26	S01E24	0:09:36.65	0:09:41.67	terminology	P2	是这样啊……迪斯拉总统已经逝世了啊	是这样啊……德斯拉总统已经逝世了啊	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0056	SH0001-V1.0.1-TERMS	2026-08-26	S01E25	0:04:26.72	0:04:28.24	terminology	P2	现在迪斯拉已死	现在德斯拉已死	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0057	SH0001-V1.0.1-TERMS	2026-08-26	S01E25	0:07:16.50	0:07:17.70	terminology	P2	迪斯拉已经在那场战斗中……	德斯拉已经在那场战斗中……	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0058	SH0001-V1.0.1-TERMS	2026-08-26	S01E25	0:21:48.38	0:21:52.20	terminology	P2	但是 要是迪斯拉炮的话……	但是 要是德斯拉炮的话……	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0059	SH0001-V1.0.1-TERMS	2026-08-26	S01E25	0:22:05.14	0:22:09.50	terminology	P2	请您快住手！来回廊内部用迪斯拉炮的话简直是自杀行为！	请您快住手！来回廊内部用德斯拉炮的话简直是自杀行为！	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TERM-0060	SH0001-V1.0.1-TERMS	2026-08-26	S01E25	0:22:24.03	0:22:26.64	terminology	P2	迪斯拉炮发射准备	德斯拉炮发射准备	works/space-battleship-yamato/series-guide.md#规范术语; YAMATO-TERM-0016	用户批准系列同步优化；按已确认系列术语逐事件统一	applied	Codex	unassigned
SH0001-V101-TIME-0001	SH0001-V1.0.1-TIMING-TEXT	2026-08-26	S01E01	0:01:30.02	0:01:30.65	timing+translation	P2	0:01:30.02-0:01:30.65 | 敌舰发来信息	0:01:30.02-0:01:31.36 | 敌舰队来电	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文内嵌轨至 01:31.36；日语为「敵艦隊より入電」；后续空档充足；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0001-V101-TIME-0002	SH0001-V1.0.1-TIMING-TEXT	2026-08-26	S01E01	0:02:39.86	0:02:40.52	timing+translation	P2	0:02:39.86-0:02:40.52 | 没有任何消息！	0:02:39.86-0:02:41.01 | 尚未收到消息！	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文同句至 02:41.01；日语确认无消息；后续为受击报告；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0001-V101-TIME-0003	SH0001-V1.0.1-TIMING-TEXT	2026-08-26	S01E02	0:00:57.59	0:00:58.22	timing+translation	P2	0:00:57.59-0:00:58.22 | 不会有问题吧？	0:00:57.59-0:00:58.97 | 不会有事吧？	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文内嵌同句至 00:58.97；日语「大丈夫か」；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0001-V101-TIME-0004	SH0001-V1.0.1-TIMING-TEXT	2026-08-26	S01E02	0:02:25.22	0:02:26.38	timing+translation	P1	0:02:25.22-0:02:26.38 | ok 阿尔法长机 我这边也确认完毕	0:02:25.22-0:02:26.70 | 收到 阿尔法长机	project sources: ja primary/official; en target embedded; current zh-Hans baseline	当前日语事件只含「オーケー アルファリーダー」；后半信息已在下一事件，去除重复并利用空档；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0001-V101-TIME-0005	SH0001-V1.0.1-TIMING-TEXT	2026-08-26	S01E02	0:05:04.51	0:05:05.26	timing+translation	P2	0:05:04.51-0:05:05.26 | 拜托给你们了	0:05:04.51-0:05:05.80 | 拜托各位了	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文内嵌长句继续至 05:09.80；日语官方该短句至约 05:05.63；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0001-V101-TIME-0006	SH0001-V1.0.1-TIMING-TEXT	2026-08-26	S01E02	0:14:44.17	0:14:45.00	timing+translation	P2	0:14:44.17-0:14:45.00 | 我会瞄准了打的	0:14:44.17-0:14:45.75 | 就指望你了	project sources: ja primary/official; en target embedded; current zh-Hans baseline	日语「当てにしてるよ」及英文 I'm counting on you；修正误译并采用英文边界；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
SH0001-V101-TIME-0007	SH0001-V1.0.1-TIMING-TEXT	2026-08-26	S01E02	0:15:15.62	0:15:16.17	timing+translation	P2	0:15:15.62-0:15:16.17 | 恕我打扰了	0:15:15.62-0:15:16.78 | 打扰了	project sources: ja primary/official; en target embedded; current zh-Hans baseline	英文内嵌同句至 15:16.78；日语「失礼します」；改后需全量检查配对、相邻间隔和非预期重叠	applied	Codex	unassigned
